u,0.528864606,0.274469465,"{""Name"":""u"",""Count"":0.529},",,,,,,,,"{""Name"":""u"",""Count"":0.529},",,,,,,,antagonist,0.42835373,0.003801313
dom,0.528468364,0.377421082,"{""Name"":""dom"",""Count"":0.528},",,,,,,,,"{""Name"":""dom"",""Count"":0.528},",,,,,,,cine,0.007480939,0.003854592
viator,0.527494018,0.11855731,"{""Name"":""viator"",""Count"":0.527},",,,,,,,,"{""Name"":""viator"",""Count"":0.527},",,,,,,,overhigh,0.065518264,0.004053626
zant,0.527027384,0.743681883,"{""Name"":""zant"",""Count"":0.527},",,,,,,,,"{""Name"":""zant"",""Count"":0.527},",,,,,,,pomona,0.161967112,0.004077782
nanaimo,0.524382783,0.422485086,"{""Name"":""nanaimo"",""Count"":0.524},",,,,,,,,"{""Name"":""nanaimo"",""Count"":0.524},",,,,,,,southwest,0.068173471,0.004080458
internal,0.524244503,0.184669996,"{""Name"":""internal"",""Count"":0.524},",,,,,,,,"{""Name"":""internal"",""Count"":0.524},",,,,,,,plant,0.224396136,0.004200116
robbin,0.523776221,0.538993809,"{""Name"":""robbin"",""Count"":0.524},",,,,,,,,"{""Name"":""robbin"",""Count"":0.524},",,,,,,,lemon,0.052697516,0.004206214
coachman,0.519996566,0.738453445,"{""Name"":""coachman"",""Count"":0.52},",,,,,,,,"{""Name"":""coachman"",""Count"":0.52},",,,,,,,durban,0.054191768,0.004292948
trama,0.519543082,0.525836385,"{""Name"":""trama"",""Count"":0.52},",,,,,,,,"{""Name"":""trama"",""Count"":0.52},",,,,,,,type,0.081240323,0.004360496
solar,0.519480544,0.394449427,"{""Name"":""solar"",""Count"":0.519},",,,,,,,,"{""Name"":""solar"",""Count"":0.519},",,,,,,,arteriogram,0.115864511,0.004412324
port,0.518205551,0.590123805,"{""Name"":""port"",""Count"":0.518},",,,,,,,,"{""Name"":""port"",""Count"":0.518},",,,,,,,riss,0.062646386,0.004443784
maugh,0.517203903,0.199093343,"{""Name"":""maugh"",""Count"":0.517},",,,,,,,,"{""Name"":""maugh"",""Count"":0.517},",,,,,,,fess,0.02332001,0.004548027
happen,0.517143956,0.324065211,"{""Name"":""happen"",""Count"":0.517},",,,,,,,,"{""Name"":""happen"",""Count"":0.517},",,,,,,,gregorian,0.007125017,0.004629534
ballist,0.516852141,0.305524501,"{""Name"":""ballist"",""Count"":0.517},",,,,,,,,"{""Name"":""ballist"",""Count"":0.517},",,,,,,,sapsuck,0.040531632,0.004712903
triumphant,0.512230245,0.003775241,"{""Name"":""triumphant"",""Count"":0.512},",,,,,,,,,,,,,,,roundabout,0.047379295,0.004769598
